City,AQI,PM2.5,PM10,NO2,CO,SO2,O3,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm),Pressure (hPa),Vehicle Count,Industrial Activity Index,Health Impact Score
Rajkot,59,227.4111369597451,160.3723991973505,44.82060308098634,5.985617321099392,37.12519658625738,58.06399145225464,11.92333308772555,64.42498008607114,12.92140520288958,14.47395540081662,976.4265733724974,198941,4.862272126943678,10
Bangalore,443,219.7142449069361,279.8012603348211,78.17501013621744,5.061980539767403,27.13655520604474,40.77752569786512,16.73825240867593,23.11236435564933,19.40540850109454,34.79004795628677,1022.471408903355,35588,5.260538358962035,10
Bhopal,56,94.84925948974787,262.3244272341121,70.01805438097675,6.589327000208117,34.62709390887275,42.7269367341402,30.38848234776396,63.63439285221185,13.41299761079435,194.3607993609033,984.5624780831404,430785,3.799078985934997,10
Srinagar,342,120.9832874801304,213.3742888024826,71.84261526330157,4.443048847196538,32.29761847712124,97.02049922068997,32.6946054437481,69.6556148871015,19.22522479134962,233.8547408994614,950.2093039281098,209382,4.426706179813062,10
Hyderabad,492,184.2622881224924,165.1087307241165,16.1677751128715,0.5539489587491878,6.722572209734725,22.8230652906561,12.51491631709306,93.22173021667959,10.36803016159507,91.75196592361479,1021.432263113118,257650,9.349908600871283,10
Bangalore,235,73.87958861494984,115.7471481987641,68.05653857338356,7.368938889105433,36.65113845189649,44.7769377278502,41.19675480478813,65.33743588567407,18.4350469894327,105.3058085033437,976.9372306703541,224226,8.202083205831094,10
Jaipur,421,146.4176353931841,180.3794749470541,26.15830574252716,8.98347513427244,4.554785925957821,72.08818466654495,14.85715668605473,74.67031214471743,10.3724269519259,196.8625191326574,954.9498796014396,319401,8.238791798052382,10
Nashik,476,125.8529646212484,43.92400247719939,61.03614704332833,9.912313428551903,9.937669986258255,8.629119779021028,29.02559098435316,74.9491792995449,18.15667044408286,136.7037685840675,1029.041825830187,427481,1.700020644383364,10
Chennai,183,219.9236599709472,144.947796214676,55.00943279894091,4.565396666760056,13.33475321565511,54.43191195818014,14.59152359594425,22.31727228701486,18.42457730810488,23.27613257265639,999.3966335800102,460041,5.444339727644834,10
Srinagar,259,24.78333002419106,149.9196339066814,41.94527871940125,5.271552133999331,39.22786952151257,91.44479015245938,15.18337785781341,28.1289948539011,14.4838460562872,181.31322725516,1024.135585144979,50780,8.922455439693895,10
